Percy Jackson & the Olympians: The Lightning Thief	"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
The Princess and the Cobbler (The Thief and the Cobbler)	"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy"
The Princess Switch	Romance
The Principal	"Comedy, Drama"
The Prodigy	Horror
The Professor	"Comedy, Drama"
The Professor and the Madman	Drama
The Program	Drama
The Promise	"Drama, Romance"
The Prophecy II	Horror
Kahlil Gibran's The Prophet	Animation
The Pruitt-igoe Myth: An Urban History	"Documentary, Special Interest"
The Public	Drama
The Puffy Chair	"Art House & International, Comedy, Drama"
The Punk Singer	"Documentary, Musical & Performing Arts"
The Purge	"Mystery & Suspense, Science Fiction & Fantasy"
The Purge: Anarchy	Horror
The Purge: Election Year	"Action & Adventure, Horror, Mystery & Suspense"
The Pyramid	Drama
The Quake (Skjelvet)	"Action & Adventure, Drama, Mystery & Suspense"
The Queen	"Documentary, Special Interest, Gay & Lesbian"
The Queen of Spain (La reina de España)	"Art House & International, Comedy, Drama"
The Queen of Versailles	"Documentary, Special Interest"
The Quest of Alain Ducasse (La Quête d'Alain Ducasse)	"Art House & International, Documentary"
The Quiet	"Art House & International, Drama, Mystery & Suspense"
The Quiet Family (Choyonghan kajok)	"Art House & International, Comedy, Drama, Horror"
The Quiet One	Documentary
The Quiet Ones	Horror
The Quiet Room	Drama
The Rabbi's Cat	"Action & Adventure, Animation, Art House & International"
The Rachel Divide	Documentary
The Rage in Placid Lake	"Art House & International, Comedy, Drama"
The Raid 2	Action & Adventure
The Raid: Redemption	"Action & Adventure, Art House & International, Drama"
The Railway Man	Drama
The Rainbow Bridge Motel	Comedy
The Rainbow Experiment	Drama
The Rambler	"Comedy, Drama"
The Rape Of Recy Taylor	Documentary
The Raven	Mystery & Suspense
The Real Blonde	"Comedy, Drama"
The Real Dirt on Farmer John	"Documentary, Musical & Performing Arts, Special Interest"
The Reckoning: Hollywood's Worst Kept Secret	Documentary
The Red Pill	Documentary
The Red Sea Diving Resort	Drama
The Red Turtle (La tortue rouge)	"Animation, Art House & International"
The Red Violin (Le violon rouge)	"Art House & International, Drama, Mystery & Suspense, Romance"
The Reef	Mystery & Suspense
The Reflecting Skin	"Drama, Horror, Mystery & Suspense"
The Reluctant Fundamentalist	Mystery & Suspense
The Remaining	Mystery & Suspense
The Remarkable Life of John Weld	Documentary
The Rescuers	"Action & Adventure, Animation, Kids & Family"
The Resurrection of Gavin Stone	Comedy
The Retrieval	Drama
The Return	"Drama, Television"
The Return of Jafar	"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy"
The Return of Martin Guerre (Le Retour de Martin Guerre)	"Art House & International, Drama, Mystery & Suspense, Romance"
The Return of the Vampire	"Classics, Horror"
The Returned	"Art House & International, Horror, Mystery & Suspense"
The Revenant	"Action & Adventure, Comedy, Horror"
The Revenant	"Action & Adventure, Drama"
The Revisionaries	"Documentary, Special Interest"
The Revival	"Drama, Gay & Lesbian"
The Rewrite	Comedy
The Rider	Drama
The Right Kind of Wrong	"Comedy, Romance"
The Riot Act	Mystery & Suspense
The Riot Club (Posh)	"Art House & International, Drama, Mystery & Suspense"
The Rise (Wasteland)	"Drama, Mystery & Suspense"
The Rise and Rise of Bitcoin	"Documentary, Special Interest"
The Rite	"Drama, Mystery & Suspense"
The Ritual	"Art House & International, Horror"
The River	"Classics, Drama"
The Road	"Drama, Horror"
The Road Within	"Comedy, Drama"
The Robber	"Drama, Sports & Fitness"
The Rocket	Drama
The Rocky Horror Picture Show: Let's Do the Time Warp Again	"Comedy, Horror, Musical & Performing Arts, Television"
The Roommate	"Horror, Mystery & Suspense"
The Rover	"Mystery & Suspense, Science Fiction & Fantasy, Western"
The Royal Tenenbaums	Comedy
The Ruins	"Horror, Mystery & Suspense"
The Rules of the Game (La règle du jeu)	"Art House & International, Comedy, Drama"
The Runaways	"Comedy, Drama, Musical & Performing Arts"
The Rundown	"Action & Adventure, Comedy"
The Runner	"Action & Adventure, Art House & International, Documentary, Drama, Science Fiction & Fantasy, Special Interest"
The Russian Woodpecker	Documentary
The Sacrament	Horror
The Sacrifice	"Art House & International, Classics, Drama"
The Salesman (Forushande)	"Art House & International, Drama, Mystery & Suspense"
The Salt of the Earth	"Documentary, Special Interest"
The Salvation	"Drama, Western"
The Samaritan	"Art House & International, Mystery & Suspense"
The Santa Clause 2	"Comedy, Kids & Family, Science Fiction & Fantasy"
The Sapphires	"Comedy, Drama, Musical & Performing Arts"
The Sasquatch Gang	"Comedy, Science Fiction & Fantasy"
The Scarlet Pimpernel	"Action & Adventure, Art House & International, Classics, Comedy, Documentary, Drama"
The School of Flesh	"Art House & International, Drama"
The Science of Sleep	"Comedy, Drama, Science Fiction & Fantasy, Romance"
The Scorpio File	"Action & Adventure, Drama, Mystery & Suspense"
The Scribbler	Mystery & Suspense
The Sea	Drama
The Sea of Trees	Drama
The Seagull	Drama
The Seasoning House	"Action & Adventure, Drama, Horror"
The Seasons in Quincy: Four Portraits of John Berger	Documentary
The Second Best Exotic Marigold Hotel	Comedy
The Second Mother (Que Horas Ela Volta?)	Drama
The Secret Life of Pets	"Animation, Comedy"
The Secret Life of Pets 2	"Animation, Comedy"
The Secret Life Of Walter Mitty	"Action & Adventure, Comedy, Drama"
The Secret Life of Words	"Art House & International, Drama"
The Secret Lives Of Dorks	Comedy
The Secret of the Sword	"Action & Adventure, Animation, Kids & Family"
The Secret Scripture	"Art House & International, Drama"
The Selfish Giant	Drama
The Sensation of Sight	"Art House & International, Drama"
The Sense Of An Ending	Drama
The Sentence	"Documentary, Television"
The Sentinel	"Drama, Horror, Mystery & Suspense"
The Sessions	"Comedy, Drama"
The Seven Five	Documentary
The Seventh Dwarf	"Animation, Comedy"
The Seventh Fire	Documentary
The Shack	Drama
The Shallows	"Drama, Mystery & Suspense"
The Shanghai Gesture	"Action & Adventure, Classics, Drama"
The Shape of Water	"Drama, Science Fiction & Fantasy, Romance"
The Shop On Main Street (Obchod na Korze)	"Art House & International, Comedy, Drama"
The Short Game	"Documentary, Special Interest, Sports & Fitness"
The Siege of Jadotville	Drama
The Signal	"Mystery & Suspense, Science Fiction & Fantasy"
The Silence	"Art House & International, Drama, Mystery & Suspense"
The Silence	"Horror, Mystery & Suspense"
The Similars (Los Parecidos)	"Art House & International, Science Fiction & Fantasy"
The Singing Forest	"Drama, Gay & Lesbian"
The Singing Revolution	"Documentary, Special Interest"
The Single Moms Club	"Comedy, Drama"
The Sisterhood Of Night	Horror
The Sisters Brothers	"Comedy, Drama"
The Sitter	Comedy
The Skeleton Twins	"Comedy, Drama"
The Skin I Live In	"Art House & International, Drama, Mystery & Suspense"
The Sleepwalker	Drama
The Smurfs	"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy"
The Smurfs 2	"Animation, Comedy"
The Snow Queen	"Animation, Art House & International, Kids & Family, Science Fiction & Fantasy"
The Snowman	"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy"
The Snowman	"Drama, Mystery & Suspense"
The Snowtown Murders	"Art House & International, Drama, Mystery & Suspense"
The Son (El hijo)	"Drama, Mystery & Suspense"
The Son of No One	"Action & Adventure, Mystery & Suspense"
The Song	"Drama, Romance"
The Song of Sway Lake	Romance
The Sons Of Tennessee Williams	"Documentary, Special Interest"
The Sound Of Music Live!	Musical & Performing Arts
The Sound of Silence	Drama
The Source Family	"Documentary, Musical & Performing Arts"
The Source: The Story of the Beats and the Beat Generation	"Classics, Comedy, Documentary, Musical & Performing Arts, Special Interest"
The Souvenir	Drama
The Space Between Us	"Action & Adventure, Science Fiction & Fantasy"
The Special Relationship	"Art House & International, Drama"
The Spectacular Now	"Comedy, Drama, Romance"
The Spirit	"Action & Adventure, Drama"
The Spirit of the Marathon	"Documentary, Sports & Fitness"
The SpongeBob Movie: Sponge Out of Water	"Animation, Comedy, Kids & Family"
The Spy Who Came In from the Cold	"Action & Adventure, Classics, Drama, Mystery & Suspense"
The Spy Who Dumped Me	"Action & Adventure, Comedy"
The Square	"Action & Adventure, Documentary, Mystery & Suspense, Special Interest"
The Square (Al Midan)	"Documentary, Special Interest"
The Square	"Art House & International, Comedy, Drama"
The Squeeze	"Comedy, Drama, Sports & Fitness"
The Standoff at Sparrow Creek	"Drama, Mystery & Suspense"
The Stanford Prison Experiment	Drama
The Star	"Action & Adventure, Animation, Comedy, Kids & Family"
The Starving Games	Comedy
The Steps	"Art House & International, Comedy, Drama"
The Stolen	Drama
The Stone Roses: Made of Stone	"Art House & International, Documentary, Musical & Performing Arts"
The Story Of Luke	"Comedy, Drama"
The Story of Qiu Ju (Qiu Ju da guan si)	"Art House & International, Comedy, Drama"
The Story of the Last Chrysanthemums	"Art House & International, Drama"
The Strange Case Of Angelica	"Art House & International, Drama, Science Fiction & Fantasy"
The Strange Color of Your Body's Tears	"Art House & International, Drama, Mystery & Suspense"
The Strange Ones	"Drama, Mystery & Suspense"
The Strangers	"Horror, Mystery & Suspense"
The Strangers: Prey At Night	Horror
The Stray	"Drama, Kids & Family"
The Strongest Man	Comedy
The Substitute 4: Failure Is Not an Option	"Action & Adventure, Drama"
The Sugarland Express	"Action & Adventure, Classics, Drama"
The Suicide Theory	Drama
The Summit	"Documentary, Special Interest, Sports & Fitness"
The Sun Is Also a Star	"Drama, Romance"
The Sunshine Makers	Documentary
The Super	Mystery & Suspense
The Survivalist	"Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy"
The Suspect (Yong-eui-ja)	"Action & Adventure, Mystery & Suspense"
The Swan Princess II: Escape from Castle Mountain	"Animation, Kids & Family, Science Fiction & Fantasy"
The Sweeney	"Action & Adventure, Art House & International, Drama"
The Swindle	"Art House & International, Comedy, Drama, Mystery & Suspense"
The Switch	"Comedy, Drama, Romance"
The Sword of Doom	"Action & Adventure, Art House & International"
The Taking Of Deborah Logan	Horror
The Taking of Pelham One Two Three	"Action & Adventure, Drama, Mystery & Suspense"
The Taking of Tiger Mountain	Action & Adventure
The Tale of Zatoichi Continues (Zoku Zatôichi monogatari)	"Action & Adventure, Drama"
The Tall Man	"Horror, Mystery & Suspense"
The Taste of Money	"Art House & International, Drama"
The Tenants	"Drama, Mystery & Suspense"
The Tender Trap	"Classics, Comedy, Musical & Performing Arts, Romance"
The Texas Chainsaw Massacre: The Beginning	"Horror, Mystery & Suspense"
The Theatre Bizarre	Horror
The Theory of Everything	Drama
The Thief of Bagdad	"Action & Adventure, Classics, Kids & Family, Science Fiction & Fantasy"
The Thieves	"Action & Adventure, Art House & International, Drama"
The Thin Man Goes Home	"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense"
The Thing	"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy"
The Thing with Two Heads	"Classics, Comedy, Horror, Science Fiction & Fantasy"
The Things We've Seen	Drama
The Third Man	"Classics, Mystery & Suspense"
The Third Murder (Sandome no satsujin)	"Art House & International, Drama, Mystery & Suspense"
The Thorn in the Heart	"Documentary, Special Interest"
The Three Caballeros	"Animation, Classics, Comedy, Kids & Family"
The Three Musketeers	"Action & Adventure, Romance"
The Ticket	Drama
The Tiger Hunter	"Comedy, Drama"
The Tillman Story	"Documentary, Special Interest"
The Time Being	"Drama, Mystery & Suspense"
The Times of Harvey Milk	"Documentary, Special Interest"
The Tin Drum (Die Blechtrommel)	"Art House & International, Drama"
The Titan	"Drama, Science Fiction & Fantasy"
The To Do List	Comedy
The Toe Tactic	"Animation, Drama, Science Fiction & Fantasy"
The Tomorrow Man	"Drama, Romance"
The Tortured	"Horror, Mystery & Suspense"
The Tower	"Action & Adventure, Drama"
The Town	"Action & Adventure, Drama, Mystery & Suspense, Romance"
The Town That Dreaded Sundown	"Horror, Mystery & Suspense"
The Toxic Avenger: Part II	"Action & Adventure, Comedy, Horror"
The Transporter Refueled	Action & Adventure
The Traveler	"Horror, Mystery & Suspense"
The Treasure	Comedy
The Tree	"Art House & International, Drama"
The Tree of Life	"Action & Adventure, Drama, Science Fiction & Fantasy"
The Tree of Wooden Clogs (L'albero degli Zoccoli)	"Art House & International, Drama"
The Trial of Billy Jack (El Juicio de Billy Jack)	"Action & Adventure, Classics, Drama"
The Trials of Darryl Hunt	"Documentary, Special Interest"
The Trials Of Muhammad Ali	"Documentary, Special Interest"
The Tribe	"Art House & International, Drama"
The Tribe (La tribu)	"Comedy, Musical & Performing Arts"
The Tribes of Palos Verdes	Drama
The Trip	"Comedy, Drama, Romance, Gay & Lesbian"
The Trip	"Art House & International, Comedy"
The Trip To Italy	"Comedy, Drama"
The Trip to Spain	"Art House & International, Comedy"
The Triplets of Belleville	"Animation, Art House & International, Comedy, Drama"
The Triumph of Love	"Art House & International, Comedy, Drama, Romance"
The Trouble With Angels	"Classics, Comedy, Kids & Family"
The Trouble with Bliss	Comedy
The Trouble with Harry	"Classics, Comedy, Mystery & Suspense"
The Trouble with Terkel	"Animation, Comedy"
The Trouble with the Truth	Drama
The True Memoirs of an International Assassin	"Action & Adventure, Comedy"
The Trust	Drama
The Truth About Emanuel	"Comedy, Drama, Mystery & Suspense"
The Tunnel Movie	"Art House & International, Drama, Horror"
The Turin Horse	"Art House & International, Drama"
The Turning	"Art House & International, Drama"
The Twilight Saga: Breaking Dawn Part 2	"Action & Adventure, Drama, Science Fiction & Fantasy, Romance"
The Two Faces of January	"Drama, Mystery & Suspense"
The Two Jakes	"Comedy, Drama, Mystery & Suspense"
The Two of Us (Le vieil homme et l'enfant)	"Art House & International, Comedy, Drama"
The Ultimate Life	Drama
The Ultimate Warrior	"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
The Uncondemned	Documentary
The Undefeated	"Documentary, Special Interest"
The Unforeseen	"Documentary, Special Interest"
The Unicorn	Comedy
The Unknown Girl (La fille inconnue)	"Art House & International, Drama"
The Unknown Known	"Documentary, Special Interest"
The Unseen	"Action & Adventure, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy"
The Unspeakable Act	Drama
The Upside	"Comedy, Drama"
The Valet	"Art House & International, Comedy"
